grid_cod,POINT_X,POINT_Y,Value
6909,722404.25147,4365852.43071,17.4190006256
7246,722396.507981,4365860.13028,18.0979995728
7247,722404.245816,4365860.13767,17.4190006256
7248,722411.983652,4365860.14508,17.4190006256
7249,722419.721567,4365860.15242,17.3190002441
7584,722396.502336,4365867.83716,18.2590007782
7585,722404.240164,4365867.84455,18.2269992828
7586,722411.978069,4365867.85196,18.2269992828
7587,722419.715898,4365867.85937,18.2619991302
7588,722427.453729,4365867.86672,17.8269996643
7589,722435.191636,4365867.87415,17.2670001984
7590,722442.929466,4365867.88158,0.0
7921,722388.75887,4365875.53671,18.3349990845
7922,722396.496689,4365875.5441,18.2700004578
7923,722404.234511,4365875.55142,18.2509994507
7924,722411.972408,4365875.55883,18.2509994507
7925,722419.710229,4365875.56625,18.2420005798
7926,722427.448051,4365875.57367,18.2509994507
7927,722435.185952,4365875.58102,18.2670001984
7928,722442.923775,4365875.58846,18.2399997711
7929,722450.661675,4365875.5959,18.2399997711
7930,722458.399499,4365875.60335,17.7810001373
7931,722466.137323,4365875.61081,17.2450008392
8259,722388.753231,4365883.24358,18.2880001068
8260,722396.491043,4365883.25097,18.2520008087
8261,722404.228933,4365883.25837,18.2560005188
8262,722411.966745,4365883.26577,18.2560005188
8263,722419.704561,4365883.27311,18.232000351
8264,722427.442452,4365883.28053,18.267999649
8265,722435.180266,4365883.28796,18.2380008698
8266,722442.918081,4365883.2954,18.2430000305
8267,722450.655976,4365883.30277,18.2430000305
8268,722458.393792,4365883.31022,18.2399997711
8269,722466.131608,4365883.31768,18.2490005493
8270,722473.869502,4365883.32515,18.1539993286
8271,722481.60732,4365883.33263,18.1539993286
8272,722489.345215,4365883.34011,17.4589996338
8596,722381.00971,4365890.94312,0.0
8597,722388.747591,4365890.95051,18.2880001068
8598,722396.485397,4365890.95782,18.2520008087
8599,722404.223279,4365890.96522,18.2560005188
8600,722411.961084,4365890.97263,18.2560005188
8601,722419.698967,4365890.98005,18.232000351
8602,722427.436773,4365890.98747,18.267999649
8603,722435.174581,4365890.99482,18.2380008698
8604,722442.912466,4365891.00226,18.2430000305
8605,722450.650274,4365891.00971,18.2430000305
8606,722458.388082,4365891.01716,18.2399997711
8607,722466.12597,4365891.02454,18.2490005493
8608,722473.863779,4365891.03201,18.1539993286
8609,722481.601589,4365891.03949,18.1539993286
8610,722489.339477,4365891.04697,17.4589996338
