grid_cod,POINT_X,POINT_Y,Value
6909,722404.25147,4365852.43071,-9999.0
7246,722396.507981,4365860.13028,0.2719460129737854
7247,722404.245816,4365860.13767,0.26977699995040894
7248,722411.983652,4365860.14508,0.26760798692703247
7249,722419.721567,4365860.15242,-9999.0
7584,722396.502336,4365867.83716,0.2723020017147064
7585,722404.240164,4365867.84455,0.27011701464653015
7586,722411.978069,4365867.85196,0.2679319977760315
7587,722419.715898,4365867.85937,0.1392419934272766
7588,722427.453729,4365867.86672,0.1392419934272766
7589,722435.191636,4365867.87415,0.1388069987297058
7590,722442.929466,4365867.88158,0.13836899399757385
7921,722388.75887,4365875.53671,0.2748650014400482
7922,722396.496689,4365875.5441,0.27266499400138855
7923,722404.234511,4365875.55142,0.2704640030860901
7924,722411.972408,4365875.55883,0.2682639956474304
7925,722419.710229,4365875.56625,0.13948099315166473
7926,722427.448051,4365875.57367,0.13948099315166473
7927,722435.185952,4365875.58102,0.13904200494289398
7928,722442.923775,4365875.58846,0.13860100507736206
7929,722450.661675,4365875.5959,0.13815699517726898
7930,722458.399499,4365875.60335,0.13771000504493713
7931,722466.137323,4365875.61081,0.13726000487804413
8259,722388.753231,4365883.24358,0.27525201439857483
8260,722396.491043,4365883.25097,0.27303600311279297
8261,722404.228933,4365883.25837,0.2708190083503723
8262,722411.966745,4365883.26577,0.26860299706459045
8263,722419.704561,4365883.27311,0.139724001288414
8264,722427.442452,4365883.28053,0.139724001288414
8265,722435.180266,4365883.28796,0.13928300142288208
8266,722442.918081,4365883.2954,0.138837993144989
8267,722450.655976,4365883.30277,0.13839100301265717
8268,722458.393792,4365883.31022,0.13794100284576416
8269,722466.131608,4365883.31768,0.13748799264431
8270,722473.869502,4365883.32515,0.13703200221061707
8271,722481.60732,4365883.33263,0.13657300174236298
8272,722489.345215,4365883.34011,0.13657300174236298
8596,722381.00971,4365890.94312,0.27787700295448303
8597,722388.747591,4365890.95051,0.27564600110054016
8598,722396.485397,4365890.95782,0.2734139859676361
8599,722404.223279,4365890.96522,0.27118200063705444
8600,722411.961084,4365890.97263,0.2689490020275116
8601,722419.698967,4365890.98005,0.13997100293636322
8602,722427.436773,4365890.98747,0.13997100293636322
8603,722435.174581,4365890.99482,0.13952699303627014
8604,722442.912466,4365891.00226,0.1390800029039383
8605,722450.650274,4365891.00971,0.1386300027370453
8606,722458.388082,4365891.01716,0.13817700743675232
8607,722466.12597,4365891.02454,0.1377200037240982
8608,722473.863779,4365891.03201,0.13726100325584412
8609,722481.601589,4365891.03949,0.13679899275302887
8610,722489.339477,4365891.04697,0.13679899275302887
8611,722497.077288,4365891.05447,0.13633500039577484
8612,722504.815177,4365891.06197,0.13586699962615967
8613,722512.552991,4365891.0694,0.1353980004787445
8934,722381.004156,4365898.64997,0.27829501032829285
8935,722388.741952,4365898.65735,0.2760480046272278
8936,722396.479825,4365898.66475,0.27379998564720154
8937,722404.217624,4365898.67207,0.2715510129928589
8938,722411.955422,4365898.67948,0.26930299401283264
8939,722419.693297,4365898.6869,0.14022399485111237
8940,722427.431095,4365898.69432,0.14022399485111237
8941,722435.168894,4365898.70175,0.13977700471878052
8942,722442.906773,4365898.70911,0.1393270045518875
8943,722450.644573,4365898.71656,0.13887299597263336
8944,722458.382451,4365898.72401,0.13841700553894043
8945,722466.120252,4365898.73147,0.13795800507068634
8946,722473.858054,4365898.73894,0.1374949961900711
8947,722481.595935,4365898.74634,0.1370300054550171
8948,722489.333738,4365898.75383,0.1370300054550171
8949,722497.071541,4365898.76132,0.13656200468540192
8950,722504.809422,4365898.76882,0.13609099388122559
8951,722512.547227,4365898.77633,0.13561800122261047
8952,722520.285034,4365898.78377,0.1351419985294342
8953,722528.022916,4365898.79129,0.13466300070285797
8954,722535.760722,4365898.79882,0.13418200612068176
9271,722373.260734,4365906.34951,-9999.0
9272,722380.998522,4365906.35689,0.27829501032829285
9273,722388.736312,4365906.36419,0.2760480046272278
9274,722396.474178,4365906.37159,0.27379998564720154
9275,722404.211967,4365906.37899,0.2715510129928589
9276,722411.949834,4365906.3864,0.26930299401283264
9277,722419.687624,4365906.39381,0.14022399485111237
9278,722427.425417,4365906.40116,0.14022399485111237
9279,722435.163286,4365906.40859,0.13977700471878052
9280,722442.901078,4365906.41603,0.1393270045518875
9281,722450.63887,4365906.42348,0.13887299597263336
9282,722458.376742,4365906.43086,0.13841700553894043
9283,722466.114536,4365906.43832,0.13795800507068634
9284,722473.852407,4365906.44579,0.1374949961900711
9285,722481.590202,4365906.45327,0.1370300054550171
9286,722489.327997,4365906.46075,0.1370300054550171
9287,722497.065872,4365906.46817,0.13656200468540192
9288,722504.803668,4365906.47567,0.13609099388122559
9289,722512.541464,4365906.48318,0.13561800122261047
9290,722520.279339,4365906.49069,0.1351419985294342
9291,722528.017136,4365906.49822,0.13466300070285797
9292,722535.754937,4365906.50567,0.13418200612068176
9293,722543.492813,4365906.51321,0.13369899988174438
9294,722551.230612,4365906.52076,0.13369899988174438
9295,722558.968489,4365906.52832,-9999.0
9609,722373.255109,4365914.05634,0.2809840142726898
9610,722380.992889,4365914.06372,0.27872198820114136
9611,722388.730747,4365914.07111,0.2764579951763153
9612,722396.468528,4365914.0785,0.27419400215148926
