grid_cod,POINT_X,POINT_Y,Value
6909,722404.25147,4365852.43071,0.4484289884567261
7246,722396.507981,4365860.13028,0.4509289860725403
7247,722404.245816,4365860.13767,0.44934698939323425
7248,722411.983652,4365860.14508,0.44773799180984497
7249,722419.721567,4365860.15242,0.44610100984573364
7584,722396.502336,4365867.83716,0.4518739879131317
7585,722404.240164,4365867.84455,0.45028701424598694
7586,722411.978069,4365867.85196,0.44867199659347534
7587,722419.715898,4365867.85937,0.4470289945602417
7588,722427.453729,4365867.86672,0.445358008146286
7589,722435.191636,4365867.87415,0.4436599910259247
7590,722442.929466,4365867.88158,0.4419330060482025
7921,722388.75887,4365875.53671,0.45440301299095154
7922,722396.496689,4365875.5441,0.4528389871120453
7923,722404.234511,4365875.55142,0.4512479901313782
7924,722411.972408,4365875.55883,0.44962799549102783
7925,722419.710229,4365875.56625,0.44797998666763306
7926,722427.448051,4365875.57367,0.44630300998687744
7927,722435.185952,4365875.58102,0.4445970058441162
7928,722442.923775,4365875.58846,0.44286298751831055
7929,722450.661675,4365875.5959,0.44110000133514404
7930,722458.399499,4365875.60335,0.43930700421333313
7931,722466.137323,4365875.61081,0.4374859929084778
8259,722388.753231,4365883.24358,0.4553939998149872
8260,722396.491043,4365883.25097,0.45382699370384216
8261,722404.228933,4365883.25837,0.4522309899330139
8262,722411.966745,4365883.26577,0.45060598850250244
8263,722419.704561,4365883.27311,0.44895198941230774
8264,722427.442452,4365883.28053,0.447270005941391
8265,722435.180266,4365883.28796,0.44555801153182983
8266,722442.918081,4365883.2954,0.44381600618362427
8267,722450.655976,4365883.30277,0.44204598665237427
8268,722458.393792,4365883.31022,0.44024500250816345
8269,722466.131608,4365883.31768,0.438414990901947
8270,722473.869502,4365883.32515,0.43655601143836975
8271,722481.60732,4365883.33263,0.4346660077571869
8272,722489.345215,4365883.34011,0.4333899915218353
8596,722381.00971,4365890.94312,0.4579490125179291
8597,722388.747591,4365890.95051,0.45640701055526733
8598,722396.485397,4365890.95782,0.45483601093292236
8599,722404.223279,4365890.96522,0.45323601365089417
8600,722411.961084,4365890.97263,0.45160698890686035
8601,722419.698967,4365890.98005,0.4499489963054657
8602,722427.436773,4365890.98747,0.44826000928878784
8603,722435.174581,4365890.99482,0.44654199481010437
8604,722442.912466,4365891.00226,0.4447939991950989
8605,722450.650274,4365891.00971,0.443015992641449
8606,722458.388082,4365891.01716,0.44120699167251587
8607,722466.12597,4365891.02454,0.43936899304389954
8608,722473.863779,4365891.03201,0.4375
8609,722481.601589,4365891.03949,0.43560099601745605
8610,722489.339477,4365891.04697,0.43431800603866577
8611,722497.077288,4365891.05447,0.4323680102825165
8612,722504.815177,4365891.06197,0.4303880035877228
8613,722512.552991,4365891.0694,0.4283770024776459
8934,722381.004156,4365898.64997,0.4589869976043701
8935,722388.741952,4365898.65735,0.4574419856071472
8936,722396.479825,4365898.66475,0.4558680057525635
8937,722404.217624,4365898.67207,0.4542649984359741
8938,722411.955422,4365898.67948,0.45263200998306274
8939,722419.693297,4365898.6869,0.4509679973125458
8940,722427.431095,4365898.69432,0.4492740035057068
8941,722435.168894,4365898.70175,0.4475499987602234
8942,722442.906773,4365898.70911,0.44579601287841797
8943,722450.644573,4365898.71656,0.4440099895000458
8944,722458.382451,4365898.72401,0.44219401478767395
8945,722466.120252,4365898.73147,0.44034698605537415
8946,722473.858054,4365898.73894,0.4384689927101135
8947,722481.595935,4365898.74634,0.43720000982284546
8948,722489.333738,4365898.75383,0.4352709949016571
8949,722497.071541,4365898.76132,0.43331000208854675
8950,722504.809422,4365898.76882,0.431318998336792
8951,722512.547227,4365898.77633,0.42929598689079285
8952,722520.285034,4365898.78377,0.4272429943084717
8953,722528.022916,4365898.79129,0.4251590073108673
8954,722535.760722,4365898.79882,0.42304399609565735
9271,722373.260734,4365906.34951,0.46156400442123413
9272,722380.998522,4365906.35689,0.46004700660705566
9273,722388.736312,4365906.36419,0.4584999978542328
9274,722396.474178,4365906.37159,0.4569239914417267
9275,722404.211967,4365906.37899,0.4553169906139374
9276,722411.949834,4365906.3864,0.45367899537086487
9277,722419.687624,4365906.39381,0.45201098918914795
9278,722427.425417,4365906.40116,0.450313001871109
9279,722435.163286,4365906.40859,0.4485830068588257
9280,722442.901078,4365906.41603,0.44682198762893677
9281,722450.63887,4365906.42348,0.44503000378608704
9282,722458.376742,4365906.43086,0.4432060122489929
9283,722466.114536,4365906.43832,0.4413509964942932
9284,722473.852407,4365906.44579,0.4394649863243103
9285,722481.590202,4365906.45327,0.43818899989128113
9286,722489.327997,4365906.46075,0.4362500011920929
9287,722497.065872,4365906.46817,0.4342789947986603
9288,722504.803668,4365906.47567,0.43227601051330566
9289,722512.541464,4365906.48318,0.43024200201034546
9290,722520.279339,4365906.49069,0.42817598581314087
9291,722528.017136,4365906.49822,0.4260779917240143
9292,722535.754937,4365906.50567,0.4239499866962433
9293,722543.492813,4365906.51321,0.4217900037765503
9294,722551.230612,4365906.52076,0.4195989966392517
9295,722558.968489,4365906.52832,0.42476901412010193
9609,722373.255109,4365914.05634,0.4626480042934418
9610,722380.992889,4365914.06372,0.4611299932003021
9611,722388.730747,4365914.07111,0.4595809876918793
9612,722396.468528,4365914.0785,0.4580020010471344
9613,722404.206312,4365914.08582,0.45639199018478394
9614,722411.944171,4365914.09323,0.45475101470947266
9615,722419.681953,4365914.10065,0.4530789852142334
9616,722427.419814,4365914.10807,0.4513759911060333
9617,722435.157597,4365914.11551,0.44964098930358887
9618,722442.895384,4365914.12287,0.4478740096092224
9619,722450.633246,4365914.13032,0.4460749924182892
9620,722458.371031,4365914.13777,0.44424501061439514
9621,722466.108817,4365914.14523,0.44238200783729553
9622,722473.846683,4365914.15263,0.44048601388931274
9623,722481.584469,4365914.16011,0.43920499086380005
9624,722489.322334,4365914.16759,0.43725600838661194
9625,722497.060122,4365914.17509,0.43527400493621826
9626,722504.79791,4365914.18259,0.4332610070705414
9627,722512.535701,4365914.19002,0.43121400475502014
9628,722520.273568,4365914.19754,0.4291360080242157
9629,722528.011358,4365914.20506,0.4270249903202057
9630,722535.749226,4365914.21259,0.42488300800323486
9631,722543.487017,4365914.22013,0.42270800471305847
9632,722551.224811,4365914.2276,0.4205009937286377
9633,722558.96268,4365914.23516,0.4256640076637268
9634,722566.700473,4365914.24272,0.4233829975128174
9635,722574.438344,4365914.25029,0.42107099294662476
9946,722365.51171,4365921.75587,0.46524301171302795
9947,722373.249482,4365921.76324,0.4637550115585327
9948,722380.987256,4365921.77054,0.4622350037097931
9949,722388.725106,4365921.77793,0.46068501472473145
9950,722396.46288,4365921.78532,0.4591040015220642
9951,722404.200731,4365921.79273,0.45749199390411377
9952,722411.938505,4365921.80014,0.45584800839424133
9953,722419.676282,4365921.80747,0.4541719853878021
9954,722427.414135,4365921.8149,0.4524640142917633
9955,722435.151911,4365921.82233,0.4507240056991577
9956,722442.889687,4365921.82977,0.44895198941230774
9957,722450.627544,4365921.83714,0.447147011756897
9958,722458.365321,4365921.8446,0.44530901312828064
9959,722466.103177,4365921.85206,0.44343799352645874
9960,722473.840955,4365921.85954,0.44153499603271484
9961,722481.578734,4365921.86701,0.4402480125427246
9962,722489.316594,4365921.87442,0.43828898668289185
9963,722497.054374,4365921.88192,0.4362969994544983
9964,722504.792155,4365921.88942,0.43427300453186035
9965,722512.530013,4365921.89693,0.43221500515937805
9966,722520.267795,4365921.90445,0.4301240146160126
9967,722528.005579,4365921.91189,0.42800000309944153
9968,722535.74344,4365921.91943,0.4258430004119873
9969,722543.481223,4365921.92697,0.4236539900302887
9970,722551.219084,4365921.93452,0.42885300517082214
9971,722558.956871,4365921.94199,0.4265879988670349
9972,722566.694656,4365921.94956,0.4242900013923645
9973,722574.432519,4365921.95713,0.4219599962234497
9974,722582.170305,4365921.96471,0.41959699988365173
9975,722589.908169,4365921.9723,0.41720399260520935
