grid_cod,POINT_X,POINT_Y,Value
6909,722404.25147,4365852.43071,848.5709838867188
7246,722396.507981,4365860.13028,855.9669799804688
7247,722404.245816,4365860.13767,847.9860229492188
7248,722411.983652,4365860.14508,842.0
7249,722419.721567,4365860.15242,834.0189819335938
7584,722396.502336,4365867.83716,855.5819702148438
7585,722404.240164,4365867.84455,847.5969848632812
7586,722411.978069,4365867.85196,841.6079711914062
7587,722419.715898,4365867.85937,833.6229858398438
7588,722427.453729,4365867.86672,825.6389770507812
7589,722435.191636,4365867.87415,817.655029296875
7590,722442.929466,4365867.88158,809.6719970703125
7921,722388.75887,4365875.53671,863.1220092773438
7922,722396.496689,4365875.5441,855.1329956054688
7923,722404.234511,4365875.55142,847.1430053710938
7924,722411.972408,4365875.55883,841.1519775390625
7925,722419.710229,4365875.56625,833.1630249023438
7926,722427.448051,4365875.57367,825.1740112304688
7927,722435.185952,4365875.58102,817.1849975585938
7928,722442.923775,4365875.58846,809.197021484375
7929,722450.661675,4365875.5959,801.208984375
7930,722458.399499,4365875.60335,793.2210083007812
7931,722466.137323,4365875.61081,785.2340087890625
8259,722388.753231,4365883.24358,862.7509765625
8260,722396.491043,4365883.25097,854.7579956054688
8261,722404.228933,4365883.25837,846.7659912109375
8262,722411.966745,4365883.26577,840.77099609375
8263,722419.704561,4365883.27311,832.7789916992188
8264,722427.442452,4365883.28053,824.7860107421875
8265,722435.180266,4365883.28796,816.7940063476562
8266,722442.918081,4365883.2954,808.802001953125
8267,722450.655976,4365883.30277,800.8099975585938
8268,722458.393792,4365883.31022,792.8179931640625
8269,722466.131608,4365883.31768,784.8259887695312
8270,722473.869502,4365883.32515,778.8319702148438
8271,722481.60732,4365883.33263,770.8410034179688
8272,722489.345215,4365883.34011,762.8499755859375
8596,722381.00971,4365890.94312,870.4500122070312
8597,722388.747591,4365890.95051,862.4550170898438
8598,722396.485397,4365890.95782,854.458984375
8599,722404.223279,4365890.96522,846.4630126953125
8600,722411.961084,4365890.97263,840.4669799804688
8601,722419.698967,4365890.98005,832.4710083007812
8602,722427.436773,4365890.98747,824.4760131835938
8603,722435.174581,4365890.99482,816.47998046875
8604,722442.912466,4365891.00226,808.4849853515625
8605,722450.650274,4365891.00971,800.489990234375
8606,722458.388082,4365891.01716,792.4949951171875
8607,722466.12597,4365891.02454,784.5
8608,722473.863779,4365891.03201,778.5040283203125
8609,722481.601589,4365891.03949,770.5089721679688
8610,722489.339477,4365891.04697,762.5139770507812
8611,722497.077288,4365891.05447,754.52001953125
8612,722504.815177,4365891.06197,746.5250244140625
8613,722512.552991,4365891.0694,738.531005859375
8934,722381.004156,4365898.64997,867.1079711914062
8935,722388.741952,4365898.65735,861.5919799804688
8936,722396.479825,4365898.66475,853.9719848632812
8937,722404.217624,4365898.67207,845.9910278320312
8938,722411.955422,4365898.67948,840.0050048828125
8939,722419.693297,4365898.6869,832.0239868164062
8940,722427.431095,4365898.69432,824.0440063476562
8941,722435.168894,4365898.70175,816.0640258789062
8942,722442.906773,4365898.70911,808.083984375
8943,722450.644573,4365898.71656,800.10498046875
8944,722458.382451,4365898.72401,792.1259765625
8945,722466.120252,4365898.73147,784.1480102539062
8946,722473.858054,4365898.73894,778.1640014648438
8947,722481.595935,4365898.74634,770.18701171875
8948,722489.333738,4365898.75383,762.2100219726562
8949,722497.071541,4365898.76132,754.2329711914062
8950,722504.809422,4365898.76882,746.2570190429688
8951,722512.547227,4365898.77633,738.27099609375
8952,722520.285034,4365898.78377,730.2739868164062
8953,722528.022916,4365898.79129,722.2769775390625
8954,722535.760722,4365898.79882,716.2789916992188
9271,722373.260734,4365906.34951,866.9420166015625
9272,722380.998522,4365906.35689,861.3499755859375
9273,722388.736312,4365906.36419,855.7969970703125
9274,722396.474178,4365906.37159,850.281982421875
9275,722404.211967,4365906.37899,844.8079833984375
9276,722411.949834,4365906.3864,839.489990234375
9277,722419.687624,4365906.39381,831.5050048828125
9278,722427.425417,4365906.40116,823.5189819335938
9279,722435.163286,4365906.40859,815.5339965820312
9280,722442.901078,4365906.41603,807.5490112304688
9281,722450.63887,4365906.42348,799.5650024414062
9282,722458.376742,4365906.43086,791.5809936523438
9283,722466.114536,4365906.43832,783.5969848632812
9284,722473.852407,4365906.44579,777.6090087890625
9285,722481.590202,4365906.45327,769.6259765625
9286,722489.327997,4365906.46075,761.6430053710938
9287,722497.065872,4365906.46817,753.6599731445312
9288,722504.803668,4365906.47567,745.677978515625
9289,722512.541464,4365906.48318,737.6959838867188
9290,722520.279339,4365906.49069,729.7150268554688
9291,722528.017136,4365906.49822,721.7340087890625
9292,722535.754937,4365906.50567,715.7490234375
9293,722543.492813,4365906.51321,707.7680053710938
9294,722551.230612,4365906.52076,699.7890014648438
9295,722558.968489,4365906.52832,691.8090209960938
9609,722373.255109,4365914.05634,861.2570190429688
9610,722380.992889,4365914.06372,855.6279907226562
9611,722388.730747,4365914.07111,850.0380249023438
9612,722396.468528,4365914.0785,844.4860229492188
9613,722404.206312,4365914.08582,838.9730224609375
9614,722411.944171,4365914.09323,834.864990234375
9615,722419.681953,4365914.10065,829.4240112304688
9616,722427.419814,4365914.10807,823.072021484375
9617,722435.157597,4365914.11551,815.0830078125
9618,722442.895384,4365914.12287,807.093994140625
9619,722450.633246,4365914.13032,799.10400390625
9620,722458.371031,4365914.13777,791.1160278320312
9621,722466.108817,4365914.14523,783.1270141601562
9622,722473.846683,4365914.15263,777.135986328125
9623,722481.584469,4365914.16011,769.1480102539062
9624,722489.322334,4365914.16759,761.1599731445312
9625,722497.060122,4365914.17509,753.1719970703125
9626,722504.79791,4365914.18259,745.1849975585938
9627,722512.535701,4365914.19002,737.197021484375
9628,722520.273568,4365914.19754,729.2109985351562
9629,722528.011358,4365914.20506,721.2239990234375
9630,722535.749226,4365914.21259,715.2340087890625
9631,722543.487017,4365914.22013,707.2479858398438
9632,722551.224811,4365914.2276,699.2620239257812
9633,722558.96268,4365914.23516,691.2769775390625
9634,722566.700473,4365914.24272,683.2919921875
9635,722574.438344,4365914.25029,675.3070068359375
9946,722365.51171,4365921.75587,862.6699829101562
9947,722373.249482,4365921.76324,857.0130004882812
9948,722380.987256,4365921.77054,851.3610229492188
9949,722388.725106,4365921.77793,845.7420043945312
9950,722396.46288,4365921.78532,840.1619873046875
9951,722404.200731,4365921.79273,834.6209716796875
9952,722411.938505,4365921.80014,830.4910278320312
9953,722419.676282,4365921.80747,825.02099609375
9954,722427.414135,4365921.8149,819.593017578125
9955,722435.151911,4365921.82233,814.2059936523438
9956,722442.889687,4365921.82977,806.8040161132812
9957,722450.627544,4365921.83714,798.81201171875
9958,722458.365321,4365921.8446,790.8200073242188
9959,722466.103177,4365921.85206,782.8280029296875
9960,722473.840955,4365921.85954,776.8350219726562
9961,722481.578734,4365921.86701,768.843017578125
9962,722489.316594,4365921.87442,760.8519897460938
9963,722497.054374,4365921.88192,752.8610229492188
9964,722504.792155,4365921.88942,744.8699951171875
9965,722512.530013,4365921.89693,736.8800048828125
9966,722520.267795,4365921.90445,728.8900146484375
9967,722528.005579,4365921.91189,720.8989868164062
9968,722535.74344,4365921.91943,714.906982421875
9969,722543.481223,4365921.92697,706.9169921875
9970,722551.219084,4365921.93452,698.927978515625
