grid_cod,POINT_X,POINT_Y,Value
6909,722404.25147,4365852.43071,4
7246,722396.507981,4365860.13028,4
7247,722404.245816,4365860.13767,4
7248,722411.983652,4365860.14508,4
7249,722419.721567,4365860.15242,4
7584,722396.502336,4365867.83716,4
7585,722404.240164,4365867.84455,4
7586,722411.978069,4365867.85196,4
7587,722419.715898,4365867.85937,4
7588,722427.453729,4365867.86672,4
7589,722435.191636,4365867.87415,4
7590,722442.929466,4365867.88158,4
7921,722388.75887,4365875.53671,4
7922,722396.496689,4365875.5441,4
7923,722404.234511,4365875.55142,4
7924,722411.972408,4365875.55883,4
7925,722419.710229,4365875.56625,4
7926,722427.448051,4365875.57367,4
7927,722435.185952,4365875.58102,4
7928,722442.923775,4365875.58846,4
7929,722450.661675,4365875.5959,4
7930,722458.399499,4365875.60335,4
7931,722466.137323,4365875.61081,4
8259,722388.753231,4365883.24358,4
8260,722396.491043,4365883.25097,4
8261,722404.228933,4365883.25837,4
8262,722411.966745,4365883.26577,4
8263,722419.704561,4365883.27311,4
8264,722427.442452,4365883.28053,4
8265,722435.180266,4365883.28796,4
8266,722442.918081,4365883.2954,4
8267,722450.655976,4365883.30277,4
8268,722458.393792,4365883.31022,4
8269,722466.131608,4365883.31768,4
8270,722473.869502,4365883.32515,4
8271,722481.60732,4365883.33263,4
8272,722489.345215,4365883.34011,4
8596,722381.00971,4365890.94312,4
8597,722388.747591,4365890.95051,4
8598,722396.485397,4365890.95782,4
8599,722404.223279,4365890.96522,4
8600,722411.961084,4365890.97263,4
8601,722419.698967,4365890.98005,4
8602,722427.436773,4365890.98747,4
8603,722435.174581,4365890.99482,4
8604,722442.912466,4365891.00226,4
8605,722450.650274,4365891.00971,4
8606,722458.388082,4365891.01716,4
8607,722466.12597,4365891.02454,4
8608,722473.863779,4365891.03201,4
8609,722481.601589,4365891.03949,4
8610,722489.339477,4365891.04697,4
8611,722497.077288,4365891.05447,4
8612,722504.815177,4365891.06197,4
8613,722512.552991,4365891.0694,4
8934,722381.004156,4365898.64997,4
8935,722388.741952,4365898.65735,4
8936,722396.479825,4365898.66475,4
8937,722404.217624,4365898.67207,4
8938,722411.955422,4365898.67948,4
8939,722419.693297,4365898.6869,4
8940,722427.431095,4365898.69432,4
8941,722435.168894,4365898.70175,4
8942,722442.906773,4365898.70911,4
8943,722450.644573,4365898.71656,4
8944,722458.382451,4365898.72401,4
8945,722466.120252,4365898.73147,4
8946,722473.858054,4365898.73894,4
8947,722481.595935,4365898.74634,4
8948,722489.333738,4365898.75383,4
8949,722497.071541,4365898.76132,4
8950,722504.809422,4365898.76882,4
8951,722512.547227,4365898.77633,4
8952,722520.285034,4365898.78377,4
8953,722528.022916,4365898.79129,4
8954,722535.760722,4365898.79882,3
9271,722373.260734,4365906.34951,2
9272,722380.998522,4365906.35689,4
9273,722388.736312,4365906.36419,1
9274,722396.474178,4365906.37159,4
9275,722404.211967,4365906.37899,4
9276,722411.949834,4365906.3864,4
9277,722419.687624,4365906.39381,4
9278,722427.425417,4365906.40116,4
9279,722435.163286,4365906.40859,4
9280,722442.901078,4365906.41603,4
9281,722450.63887,4365906.42348,4
9282,722458.376742,4365906.43086,4
9283,722466.114536,4365906.43832,4
9284,722473.852407,4365906.44579,4
9285,722481.590202,4365906.45327,4
9286,722489.327997,4365906.46075,4
9287,722497.065872,4365906.46817,4
9288,722504.803668,4365906.47567,4
9289,722512.541464,4365906.48318,4
9290,722520.279339,4365906.49069,4
9291,722528.017136,4365906.49822,4
9292,722535.754937,4365906.50567,4
9293,722543.492813,4365906.51321,4
9294,722551.230612,4365906.52076,4
9295,722558.968489,4365906.52832,3
9609,722373.255109,4365914.05634,2
9610,722380.992889,4365914.06372,1
9611,722388.730747,4365914.07111,1
9612,722396.468528,4365914.0785,4
9613,722404.206312,4365914.08582,4
9614,722411.944171,4365914.09323,4
9615,722419.681953,4365914.10065,4
9616,722427.419814,4365914.10807,4
9617,722435.157597,4365914.11551,4
9618,722442.895384,4365914.12287,4
9619,722450.633246,4365914.13032,4
9620,722458.371031,4365914.13777,4
9621,722466.108817,4365914.14523,4
9622,722473.846683,4365914.15263,4
9623,722481.584469,4365914.16011,4
9624,722489.322334,4365914.16759,4
9625,722497.060122,4365914.17509,4
9626,722504.79791,4365914.18259,4
9627,722512.535701,4365914.19002,4
9628,722520.273568,4365914.19754,4
9629,722528.011358,4365914.20506,4
9630,722535.749226,4365914.21259,4
9631,722543.487017,4365914.22013,4
9632,722551.224811,4365914.2276,4
9633,722558.96268,4365914.23516,4
9634,722566.700473,4365914.24272,4
9635,722574.438344,4365914.25029,3
9946,722365.51171,4365921.75587,2
9947,722373.249482,4365921.76324,1
9948,722380.987256,4365921.77054,1
9949,722388.725106,4365921.77793,1
9950,722396.46288,4365921.78532,1
9951,722404.200731,4365921.79273,1
9952,722411.938505,4365921.80014,1
9953,722419.676282,4365921.80747,1
9954,722427.414135,4365921.8149,4
9955,722435.151911,4365921.82233,4
9956,722442.889687,4365921.82977,4
9957,722450.627544,4365921.83714,4
9958,722458.365321,4365921.8446,4
9959,722466.103177,4365921.85206,4
9960,722473.840955,4365921.85954,4
9961,722481.578734,4365921.86701,4
9962,722489.316594,4365921.87442,4
9963,722497.054374,4365921.88192,4
9964,722504.792155,4365921.88942,4
9965,722512.530013,4365921.89693,4
9966,722520.267795,4365921.90445,4
9967,722528.005579,4365921.91189,4
9968,722535.74344,4365921.91943,4
9969,722543.481223,4365921.92697,4
9970,722551.219084,4365921.93452,4
9971,722558.956871,4365921.94199,4
9972,722566.694656,4365921.94956,4
9973,722574.432519,4365921.95713,4
9974,722582.170305,4365921.96471,4
9975,722589.908169,4365921.9723,4
9976,722597.645958,4365921.97981,4
10284,722365.506092,4365929.46269,4
10285,722373.243856,4365929.47006,1
10286,722380.981698,4365929.47744,4
10287,722388.719463,4365929.48482,4
10288,722396.457231,4365929.49214,1
10289,722404.195074,4365929.49954,4
10290,722411.932841,4365929.50695,4
10291,722419.670685,4365929.51437,4
10292,722427.408455,4365929.52172,4
10293,722435.146223,4365929.52915,4
10294,722442.88407,4365929.5366,4
10295,722450.621839,4365929.54404,4
10296,722458.359609,4365929.5515,4
10297,722466.097459,4365929.55889,4
10298,722473.83523,4365929.56636,4
10299,722481.573078,4365929.57384,4
10300,722489.31085,4365929.58132,4
10301,722497.048623,4365929.58882,4
10302,722504.786476,4365929.59625,4
10303,722512.524249,4365929.60376,4
10304,722520.262023,4365929.61127,4
10305,722527.999875,4365929.6188,4
10306,722535.737651,4365929.62633,4
10307,722543.475428,4365929.63379,4
10308,722551.213282,4365929.64135,4
10309,722558.951059,4365929.6489,4
10310,722566.688914,4365929.65647,4
10311,722574.426694,4365929.66396,4
10312,722582.164472,4365929.67154,4
10313,722589.902328,4365929.67913,4
10314,722597.640108,4365929.68672,4
10315,722605.377965,4365929.69433,4
10316,722613.115748,4365929.70186,4
10317,722620.853529,4365929.70948,3
10621,722357.762715,4365937.16221,4
10622,722365.500471,4365937.16957,1
10623,722373.238229,4365937.17687,1
10624,722380.976064,4365937.18425,4
10625,722388.713821,4365937.19163,1
10626,722396.451656,4365937.19903,1
10627,722404.189417,4365937.20635,4
10628,722411.927176,4365937.21376,1
10629,722419.665013,4365937.22118,4
10630,722427.402773,4365937.22861,4
10631,722435.140611,4365937.23604,4
10632,722442.878374,4365937.24341,4
10633,722450.616136,4365937.25086,4
10634,722458.353975,4365937.25831,4
10635,722466.091738,4365937.26578,4
10636,722473.829501,4365937.27325,4
10637,722481.567345,4365937.28065,4
10638,722489.305109,4365937.28814,4
10639,722497.042874,4365937.29564,4
10640,722504.780717,4365937.30314,4
10641,722512.518483,4365937.31065,4
10642,722520.256251,4365937.31809,4
10643,722527.994096,4365937.32562,4
10644,722535.731863,4365937.33315,4
10645,722543.469708,4365937.34069,4
10646,722551.207479,4365937.34817,4
10647,722558.945248,4365937.35572,4
10648,722566.683095,4365937.36329,4
10649,722574.420866,4365937.37086,4
10650,722582.158714,4365937.37844,4
10651,722589.896487,4365937.38595,4
10652,722597.634259,4365937.39355,4
10653,722605.372109,4365937.40115,4
10654,722613.109881,4365937.40876,4
10655,722620.847655,4365937.41638,4
10656,722628.585508,4365937.42393,4
10657,722636.323283,4365937.43156,4
10658,722644.061135,4365937.4392,3
10959,722357.757104,4365944.86901,2
10960,722365.494852,4365944.87637,1
10961,722373.232678,4365944.88375,4
10962,722380.970429,4365944.89105,1
10963,722388.708256,4365944.89844,1
10964,722396.446006,4365944.90583,4
10965,722404.183757,4365944.91323,1
10966,722411.921586,4365944.92065,1
10967,722419.65934,4365944.92799,4
