grid_cod,POINT_X,POINT_Y,Value
6909,722404.25147,4365852.43071,1.4613499641418457
7246,722396.507981,4365860.13028,1.2576199769973755
7247,722404.245816,4365860.13767,1.4613499641418457
7248,722411.983652,4365860.14508,1.4613499641418457
7249,722419.721567,4365860.15242,1.7371100187301636
7584,722396.502336,4365867.83716,0.8404340147972107
7585,722404.240164,4365867.84455,1.008829951286316
7586,722411.978069,4365867.85196,1.008829951286316
7587,722419.715898,4365867.85937,1.190369963645935
7588,722427.453729,4365867.86672,1.3002400398254395
7589,722435.191636,4365867.87415,1.656540036201477
7590,722442.929466,4365867.88158,1.9479399919509888
7921,722388.75887,4365875.53671,0.28424400091171265
7922,722396.496689,4365875.5441,0.4455280005931854
7923,722404.234511,4365875.55142,0.6433280110359192
7924,722411.972408,4365875.55883,0.6433280110359192
7925,722419.710229,4365875.56625,0.848563015460968
7926,722427.448051,4365875.57367,0.8995850086212158
7927,722435.185952,4365875.58102,0.8739569783210754
7928,722442.923775,4365875.58846,0.9550930261611938
7929,722450.661675,4365875.5959,0.9550930261611938
7930,722458.399499,4365875.60335,1.1933300495147705
7931,722466.137323,4365875.61081,1.7062900066375732
8259,722388.753231,4365883.24358,0.30406999588012695
8260,722396.491043,4365883.25097,0.20693400502204895
8261,722404.228933,4365883.25837,0.1473270058631897
8262,722411.966745,4365883.26577,0.1473270058631897
8263,722419.704561,4365883.27311,0.2478639930486679
8264,722427.442452,4365883.28053,0.4185679852962494
8265,722435.180266,4365883.28796,0.5422329902648926
8266,722442.918081,4365883.2954,0.6840310096740723
8267,722450.655976,4365883.30277,0.6840310096740723
8268,722458.393792,4365883.31022,0.7818779945373535
8269,722466.131608,4365883.31768,0.9493899941444397
8270,722473.869502,4365883.32515,1.1861799955368042
8271,722481.60732,4365883.33263,1.1861799955368042
8272,722489.345215,4365883.34011,1.4965499639511108
8596,722381.00971,4365890.94312,-9999.0
8597,722388.747591,4365890.95051,0.30406999588012695
8598,722396.485397,4365890.95782,0.20693400502204895
8599,722404.223279,4365890.96522,0.1473270058631897
8600,722411.961084,4365890.97263,0.1473270058631897
8601,722419.698967,4365890.98005,0.2478639930486679
8602,722427.436773,4365890.98747,0.4185679852962494
8603,722435.174581,4365890.99482,0.5422329902648926
8604,722442.912466,4365891.00226,0.6840310096740723
8605,722450.650274,4365891.00971,0.6840310096740723
8606,722458.388082,4365891.01716,0.7818779945373535
8607,722466.12597,4365891.02454,0.9493899941444397
8608,722473.863779,4365891.03201,1.1861799955368042
8609,722481.601589,4365891.03949,1.1861799955368042
8610,722489.339477,4365891.04697,1.4965499639511108
8611,722497.077288,4365891.05447,1.7038099765777588
8612,722504.815177,4365891.06197,-9999.0
8613,722512.552991,4365891.0694,-9999.0
8934,722381.004156,4365898.64997,0.6141390204429626
8935,722388.741952,4365898.65735,0.5738450288772583
8936,722396.479825,4365898.66475,0.4614129960536957
8937,722404.217624,4365898.67207,0.28577300906181335
8938,722411.955422,4365898.67948,0.28577300906181335
8939,722419.693297,4365898.6869,0.1404470056295395
8940,722427.431095,4365898.69432,0.07192309945821762
8941,722435.168894,4365898.70175,0.08737079799175262
8942,722442.906773,4365898.70911,0.2583099901676178
8943,722450.644573,4365898.71656,0.2583099901676178
8944,722458.382451,4365898.72401,0.45013299584388733
8945,722466.120252,4365898.73147,0.6308709979057312
8946,722473.858054,4365898.73894,0.8566920161247253
8947,722481.595935,4365898.74634,0.8566920161247253
8948,722489.333738,4365898.75383,1.1842900514602661
8949,722497.071541,4365898.76132,1.511549949645996
8950,722504.809422,4365898.76882,1.7551900148391724
8951,722512.547227,4365898.77633,1.3136399984359741
8952,722520.285034,4365898.78377,1.3136399984359741
8953,722528.022916,4365898.79129,1.1678999662399292
8954,722535.760722,4365898.79882,-9999.0
9271,722373.260734,4365906.34951,0.5213189721107483
9272,722380.998522,4365906.35689,0.5213189721107483
9273,722388.736312,4365906.36419,0.6748960018157959
9274,722396.474178,4365906.37159,0.717087984085083
9275,722404.211967,4365906.37899,0.6200090050697327
9276,722411.949834,4365906.3864,0.6200090050697327
9277,722419.687624,4365906.39381,0.45886799693107605
9278,722427.425417,4365906.40116,0.32389700412750244
9279,722435.163286,4365906.40859,0.1980309933423996
9280,722442.901078,4365906.41603,0.11384499818086624
9281,722450.63887,4365906.42348,0.11384499818086624
9282,722458.376742,4365906.43086,0.08944889903068542
9283,722466.114536,4365906.43832,0.16148899495601654
9284,722473.852407,4365906.44579,0.5305969715118408
9285,722481.590202,4365906.45327,0.5305969715118408
9286,722489.327997,4365906.46075,1.2074999809265137
9287,722497.065872,4365906.46817,1.6915199756622314
9288,722504.803668,4365906.47567,1.590309977531433
9289,722512.541464,4365906.48318,0.8689029812812805
9290,722520.279339,4365906.49069,0.8689029812812805
9291,722528.017136,4365906.49822,0.6198949813842773
9292,722535.754937,4365906.50567,0.7371349930763245
9293,722543.492813,4365906.51321,0.8600980043411255
9294,722551.230612,4365906.52076,0.8600980043411255
9295,722558.968489,4365906.52832,0.913237988948822
9609,722373.255109,4365914.05634,0.3159849941730499
9610,722380.992889,4365914.06372,0.3159849941730499
9611,722388.730747,4365914.07111,0.5147250294685364
9612,722396.468528,4365914.0785,0.7057279944419861
9613,722404.206312,4365914.08582,0.7701889872550964
9614,722411.944171,4365914.09323,0.7701889872550964
9615,722419.681953,4365914.10065,0.6938790082931519
9616,722427.419814,4365914.10807,0.5780270099639893
9617,722435.157597,4365914.11551,0.4493440091609955
9618,722442.895384,4365914.12287,0.33559098839759827
9619,722450.633246,4365914.13032,0.33559098839759827
9620,722458.371031,4365914.13777,0.2504270076751709
9621,722466.108817,4365914.14523,0.16920100152492523
9622,722473.846683,4365914.15263,0.5931050181388855
9623,722481.584469,4365914.16011,0.5931050181388855
9624,722489.322334,4365914.16759,1.3807499408721924
9625,722497.060122,4365914.17509,1.7361299991607666
9626,722504.79791,4365914.18259,1.2812000513076782
9627,722512.535701,4365914.19002,0.595192015171051
9628,722520.273568,4365914.19754,0.595192015171051
9629,722528.011358,4365914.20506,0.4972609877586365
9630,722535.749226,4365914.21259,0.6645910143852234
9631,722543.487017,4365914.22013,0.6390810012817383
9632,722551.224811,4365914.2276,0.6390810012817383
9633,722558.96268,4365914.23516,0.5508109927177429
9634,722566.700473,4365914.24272,0.5286480188369751
9635,722574.438344,4365914.25029,0.5707619786262512
9946,722365.51171,4365921.75587,0.20794199407100677
9947,722373.249482,4365921.76324,0.3159849941730499
9948,722380.987256,4365921.77054,0.3159849941730499
9949,722388.725106,4365921.77793,0.5147250294685364
9950,722396.46288,4365921.78532,0.7057279944419861
9951,722404.200731,4365921.79273,0.7701889872550964
9952,722411.938505,4365921.80014,0.7701889872550964
9953,722419.676282,4365921.80747,0.6938790082931519
9954,722427.414135,4365921.8149,0.5780270099639893
9955,722435.151911,4365921.82233,0.4493440091609955
9956,722442.889687,4365921.82977,0.33559098839759827
9957,722450.627544,4365921.83714,0.33559098839759827
9958,722458.365321,4365921.8446,0.2504270076751709
9959,722466.103177,4365921.85206,0.16920100152492523
9960,722473.840955,4365921.85954,0.5931050181388855
9961,722481.578734,4365921.86701,0.5931050181388855
9962,722489.316594,4365921.87442,1.3807499408721924
9963,722497.054374,4365921.88192,1.7361299991607666
9964,722504.792155,4365921.88942,1.2812000513076782
9965,722512.530013,4365921.89693,0.595192015171051
9966,722520.267795,4365921.90445,0.595192015171051
9967,722528.005579,4365921.91189,0.4972609877586365
9968,722535.74344,4365921.91943,0.6645910143852234
9969,722543.481223,4365921.92697,0.6390810012817383
9970,722551.219084,4365921.93452,0.6390810012817383
9971,722558.956871,4365921.94199,0.5508109927177429
9972,722566.694656,4365921.94956,0.5286480188369751
9973,722574.432519,4365921.95713,0.5707619786262512
9974,722582.170305,4365921.96471,0.5707619786262512
9975,722589.908169,4365921.9723,0.5455679893493652
9976,722597.645958,4365921.97981,-9999.0
10284,722365.506092,4365929.46269,0.1292320042848587
10285,722373.243856,4365929.47006,0.17534199357032776
10286,722380.981698,4365929.47744,0.17534199357032776
10287,722388.719463,4365929.48482,0.27187201380729675
10288,722396.457231,4365929.49214,0.4652850031852722
10289,722404.195074,4365929.49954,0.6227160096168518
10290,722411.932841,4365929.50695,0.6227160096168518
10291,722419.670685,4365929.51437,0.6512219905853271
10292,722427.408455,4365929.52172,0.6112790107727051
10293,722435.146223,4365929.52915,0.5563730001449585
10294,722442.88407,4365929.5366,0.5163609981536865
10295,722450.621839,4365929.54404,0.5163609981536865
10296,722458.359609,4365929.5515,0.4749619960784912
10297,722466.097459,4365929.55889,0.42608100175857544
10298,722473.83523,4365929.56636,0.8406559824943542
10299,722481.573078,4365929.57384,0.8406559824943542
10300,722489.31085,4365929.58132,1.440000057220459
10301,722497.048623,4365929.58882,1.5342899560928345
10302,722504.786476,4365929.59625,1.018149971961975
10303,722512.524249,4365929.60376,0.5805019736289978
10304,722520.262023,4365929.61127,0.5805019736289978
10305,722527.999875,4365929.6188,0.5804479718208313
10306,722535.737651,4365929.62633,0.6713849902153015
10307,722543.475428,4365929.63379,0.4773170053958893
10308,722551.213282,4365929.64135,0.4773170053958893
10309,722558.951059,4365929.6489,0.336434006690979
10310,722566.688914,4365929.65647,0.41122201085090637
10311,722574.426694,4365929.66396,0.5141100287437439
10312,722582.164472,4365929.67154,0.5141100287437439
10313,722589.902328,4365929.67913,0.5868340134620667
10314,722597.640108,4365929.68672,0.6729710102081299
10315,722605.377965,4365929.69433,0.5151450037956238
10316,722613.115748,4365929.70186,0.42403098940849304
10317,722620.853529,4365929.70948,0.42403098940849304
10621,722357.762715,4365937.16221,0.08760429918766022
10622,722365.500471,4365937.16957,0.1410900056362152
10623,722373.238229,4365937.17687,0.2226250022649765
10624,722380.976064,4365937.18425,0.2226250022649765
10625,722388.713821,4365937.19163,0.22638200223445892
10626,722396.451656,4365937.19903,0.25915300846099854
10627,722404.189417,4365937.20635,0.395363986492157
10628,722411.927176,4365937.21376,0.395363986492157
10629,722419.665013,4365937.22118,0.4464400112628937
10630,722427.402773,4365937.22861,0.42609700560569763
10631,722435.140611,4365937.23604,0.40689200162887573
10632,722442.878374,4365937.24341,0.4631919860839844
10633,722450.616136,4365937.25086,0.4631919860839844
10634,722458.353975,4365937.25831,0.5151709914207458
10635,722466.091738,4365937.26578,0.6703510284423828
10636,722473.829501,4365937.27325,1.112720012664795
10637,722481.567345,4365937.28065,1.112720012664795
10638,722489.305109,4365937.28814,1.4367200136184692
10639,722497.042874,4365937.29564,1.3196099996566772
10640,722504.780717,4365937.30314,0.9037060141563416
10641,722512.518483,4365937.31065,0.7786239981651306
10642,722520.256251,4365937.31809,0.7786239981651306
