grid_cod,POINT_X,POINT_Y,Value
6909,722404.25147,4365852.43071,0.0
7246,722396.507981,4365860.13028,0.0
7247,722404.245816,4365860.13767,0.0
7248,722411.983652,4365860.14508,0.0
7249,722419.721567,4365860.15242,0.0
7584,722396.502336,4365867.83716,0.0
7585,722404.240164,4365867.84455,0.0
7586,722411.978069,4365867.85196,0.0
7587,722419.715898,4365867.85937,0.0
7588,722427.453729,4365867.86672,0.0012855499517172575
7589,722435.191636,4365867.87415,0.005966189783066511
7590,722442.929466,4365867.88158,0.0
7921,722388.75887,4365875.53671,0.0
7922,722396.496689,4365875.5441,0.0
7923,722404.234511,4365875.55142,0.0
7924,722411.972408,4365875.55883,0.0
7925,722419.710229,4365875.56625,0.0007762910099700093
7926,722427.448051,4365875.57367,0.00430870009586215
7927,722435.185952,4365875.58102,0.009378430433571339
7928,722442.923775,4365875.58846,0.014490099623799324
7929,722450.661675,4365875.5959,0.019683800637722015
7930,722458.399499,4365875.60335,0.02498440071940422
7931,722466.137323,4365875.61081,0.015747100114822388
8259,722388.753231,4365883.24358,0.0
8260,722396.491043,4365883.25097,0.0
8261,722404.228933,4365883.25837,0.0
8262,722411.966745,4365883.26577,0.0
8263,722419.704561,4365883.27311,0.003194809891283512
8264,722427.442452,4365883.28053,0.007301330100744963
8265,722435.180266,4365883.28796,0.012737300246953964
8266,722442.918081,4365883.2954,0.018211400136351585
8267,722450.655976,4365883.30277,0.02375599928200245
8268,722458.393792,4365883.31022,0.029396099969744682
8269,722466.131608,4365883.31768,0.03514289855957031
8270,722473.869502,4365883.32515,0.03952790051698685
8271,722481.60732,4365883.33263,0.045480698347091675
8272,722489.345215,4365883.34011,0.034656498581171036
8596,722381.00971,4365890.94312,0.0
8597,722388.747591,4365890.95051,0.0
8598,722396.485397,4365890.95782,0.0
8599,722404.223279,4365890.96522,0.0
8600,722411.961084,4365890.97263,0.0004901890060864389
8601,722419.698967,4365890.98005,0.005641940049827099
8602,722427.436773,4365890.98747,0.010801300406455994
8603,722435.174581,4365890.99482,0.016094200313091278
8604,722442.912466,4365891.00226,0.02192310057580471
8605,722450.650274,4365891.00971,0.02782060019671917
8606,722458.388082,4365891.01716,0.033807799220085144
8607,722466.12597,4365891.02454,0.03989600017666817
8608,722473.863779,4365891.03201,0.04453660175204277
8609,722481.601589,4365891.03949,0.050825100392103195
8610,722489.339477,4365891.04697,0.051502201706171036
8611,722497.077288,4365891.05447,0.057500798255205154
8612,722504.815177,4365891.06197,0.07904820144176483
8613,722512.552991,4365891.0694,0.12420099973678589
8934,722381.004156,4365898.64997,0.0
8935,722388.741952,4365898.65735,0.0
8936,722396.479825,4365898.66475,0.0
8937,722404.217624,4365898.67207,0.0
8938,722411.955422,4365898.67948,0.0027446700260043144
8939,722419.693297,4365898.6869,0.008127209730446339
8940,722427.431095,4365898.69432,0.013551699928939342
8941,722435.168894,4365898.70175,0.01902960054576397
8942,722442.906773,4365898.70911,0.02565379999577999
8943,722450.644573,4365898.71656,0.031900398433208466
8944,722458.382451,4365898.72401,0.038236599415540695
8945,722466.120252,4365898.73147,0.04467390105128288
8946,722473.858054,4365898.73894,0.04957199841737747
8947,722481.595935,4365898.74634,0.05620190128684044
8948,722489.333738,4365898.75383,0.05660250037908554
8949,722497.071541,4365898.76132,0.06291390210390091
8950,722504.809422,4365898.76882,0.17550699412822723
8951,722512.547227,4365898.77633,0.09354589879512787
8952,722520.285034,4365898.78377,0.05524830147624016
8953,722528.022916,4365898.79129,0.08072660118341446
8954,722535.760722,4365898.79882,0.08012960106134415
9271,722373.260734,4365906.34951,0.0
9272,722380.998522,4365906.35689,0.0
9273,722388.736312,4365906.36419,0.0
9274,722396.474178,4365906.37159,0.0
9275,722404.211967,4365906.37899,0.0008831020095385611
9276,722411.949834,4365906.3864,0.005041120108217001
9277,722419.687624,4365906.39381,0.01065060030668974
9278,722427.425417,4365906.40116,0.016334500163793564
9279,722435.163286,4365906.40859,0.022092800587415695
9280,722442.901078,4365906.41603,0.02793310023844242
9281,722450.63887,4365906.42348,0.03602030128240585
9282,722458.376742,4365906.43086,0.042703598737716675
9283,722466.114536,4365906.43832,0.04948810115456581
9284,722473.852407,4365906.44579,0.05464550107717514
9285,722481.590202,4365906.45327,0.06162070110440254
9286,722489.327997,4365906.46075,0.06172750145196915
9287,722497.065872,4365906.46817,0.06834980100393295
9288,722504.803668,4365906.47567,0.07929229736328125
9289,722512.541464,4365906.48318,0.12362100183963776
9290,722520.279339,4365906.49069,0.1070690006017685
9291,722528.017136,4365906.49822,0.08218000084161758
9292,722535.754937,4365906.50567,0.09089849889278412
9293,722543.492813,4365906.51321,0.12710599601268768
9294,722551.230612,4365906.52076,0.15404100716114044
9295,722558.968489,4365906.52832,0.1292780041694641
9609,722373.255109,4365914.05634,0.0
9610,722380.992889,4365914.06372,0.0
9611,722388.730747,4365914.07111,0.0
9612,722396.468528,4365914.0785,0.0
9613,722404.206312,4365914.08582,0.0030689199920743704
9614,722411.944171,4365914.09323,0.007377619855105877
9615,722419.681953,4365914.10065,0.01321600005030632
9616,722427.419814,4365914.10807,0.019153600558638573
9617,722435.157597,4365914.11551,0.02519039995968342
9618,722442.895384,4365914.12287,0.031322501599788666
9619,722450.633246,4365914.13032,0.040193598717451096
9620,722458.371031,4365914.13777,0.047224000096321106
9621,722466.108817,4365914.14523,0.05435369908809662
9622,722473.846683,4365914.15263,0.059770599007606506
9623,722481.584469,4365914.16011,0.0601062998175621
9624,722489.322334,4365914.16759,0.06687740236520767
9625,722497.060122,4365914.17509,0.07381059974431992
9626,722504.79791,4365914.18259,0.10288800299167633
9627,722512.535701,4365914.19002,0.12034200131893158
9628,722520.273568,4365914.19754,0.08431050181388855
9629,722528.011358,4365914.20506,0.12359599769115448
9630,722535.749226,4365914.21259,0.1529349982738495
9631,722543.487017,4365914.22013,0.23096300661563873
9632,722551.224811,4365914.2276,0.27033400535583496
9633,722558.96268,4365914.23516,0.17129699885845184
9634,722566.700473,4365914.24272,0.1472170054912567
9635,722574.438344,4365914.25029,0.15769200026988983
9946,722365.51171,4365921.75587,0.0
9947,722373.249482,4365921.76324,0.0
9948,722380.987256,4365921.77054,0.0
9949,722388.725106,4365921.77793,0.0
9950,722396.46288,4365921.78532,0.0
9951,722404.200731,4365921.79273,0.004730219952762127
9952,722411.938505,4365921.80014,0.009153369814157486
9953,722419.676282,4365921.80747,0.01516720000654459
9954,722427.414135,4365921.8149,0.021297499537467957
9955,722435.151911,4365921.82233,0.02754019945859909
9956,722442.889687,4365921.82977,0.03388790041208267
9957,722450.627544,4365921.83714,0.040340401232242584
9958,722458.365321,4365921.8446,0.05065539851784706
9959,722466.103177,4365921.85206,0.058044400066137314
9960,722473.840955,4365921.85954,0.06365390121936798
9961,722481.578734,4365921.86701,0.06375890225172043
9962,722489.316594,4365921.87442,0.07076259702444077
9963,722497.054374,4365921.88192,0.0843982994556427
9964,722504.792155,4365921.88942,0.11741399765014648
9965,722512.530013,4365921.89693,0.08599279820919037
9966,722520.267795,4365921.90445,0.10032100230455399
9967,722528.005579,4365921.91189,0.17822100222110748
9968,722535.74344,4365921.91943,0.20765699446201324
9969,722543.481223,4365921.92697,0.24147799611091614
9970,722551.219084,4365921.93452,0.275505006313324
9971,722558.956871,4365921.94199,0.2087630033493042
9972,722566.694656,4365921.94956,0.14834000170230865
9973,722574.432519,4365921.95713,0.1638759970664978
9974,722582.170305,4365921.96471,0.17490600049495697
9975,722589.908169,4365921.9723,0.183447003364563
9976,722597.645958,4365921.97981,0.17211200296878815
10284,722365.506092,4365929.46269,0.0
10285,722373.243856,4365929.47006,0.0
10286,722380.981698,4365929.47744,0.0
