grid_cod,POINT_X,POINT_Y,Value
7246,722396.507981,4365860.13028,-0.01644209958612919
7584,722396.502336,4365867.83716,-0.014598599635064602
7921,722388.75887,4365875.53671,-0.0175074003636837
7922,722396.496689,4365875.5441,-0.012812799774110317
8259,722388.753231,4365883.24358,-0.015653999522328377
8260,722396.491043,4365883.25097,-0.01090910006314516
8596,722381.00971,4365890.94312,-0.019021499902009964
8597,722388.747591,4365890.95051,-0.013927499763667583
8598,722396.485397,4365890.95782,-0.009107409976422787
8934,722381.004156,4365898.64997,-0.01725579984486103
8935,722388.741952,4365898.65735,-0.012080799788236618
8936,722396.479825,4365898.66475,-0.007159640081226826
9271,722373.260734,4365906.34951,-0.02042349986732006
9272,722380.998522,4365906.35689,-0.015601400285959244
9273,722388.736312,4365906.36419,-0.010338399559259415
9274,722396.474178,4365906.37159,-0.005184889771044254
9609,722373.255109,4365914.05634,-0.01873059943318367
9610,722380.992889,4365914.06372,-0.013831700198352337
9611,722388.730747,4365914.07111,-0.008804930374026299
9612,722396.468528,4365914.0785,-0.0033104699105024338
9946,722365.51171,4365921.75587,-0.02307490073144436
9947,722373.249482,4365921.76324,-0.01714020036160946
9948,722380.987256,4365921.77054,-0.012165799736976624
9949,722388.725106,4365921.77793,-0.007041479926556349
9950,722396.46288,4365921.78532,-0.0014155199751257896
10284,722365.506092,4365929.46269,-0.058711498975753784
10285,722373.243856,4365929.47006,-0.052846699953079224
10286,722380.981698,4365929.47744,-0.01353910006582737
10287,722388.719463,4365929.48482,-0.005074960179626942
10288,722396.457231,4365929.49214,0.0004993929760530591
10621,722357.762715,4365937.16221,0.05370179936289787
10622,722365.500471,4365937.16957,-0.08368279784917831
10623,722373.238229,4365937.17687,-0.07670280337333679
10624,722380.976064,4365937.18425,-0.07096859812736511
10625,722388.713821,4365937.19163,-0.06563200056552887
10626,722396.451656,4365937.19903,-0.035465601831674576
10959,722357.757104,4365944.86901,0.0892229974269867
10960,722365.494852,4365944.87637,-0.07513339817523956
10961,722373.232678,4365944.88375,-0.09892070293426514
10962,722380.970429,4365944.89105,-0.09311989694833755
10963,722388.708256,4365944.89844,-0.0870824009180069
10964,722396.446006,4365944.90583,-0.08037839829921722
11297,722357.751491,4365952.5758,0.12791100144386292
11298,722365.489309,4365952.58317,-0.0400644987821579
11299,722373.22705,4365952.59054,-0.12259099632501602
11300,722380.964792,4365952.59792,-0.11672700196504593
11301,722388.702613,4365952.60523,-0.11059100180864334
11302,722396.440356,4365952.61263,-0.10372599959373474
11634,722350.008144,4365960.2753,0.1368889957666397
11635,722357.745876,4365960.28266,0.10892800241708755
11636,722365.483689,4365960.28995,-0.006608199793845415
11637,722373.221422,4365960.29732,-0.14553099870681763
11638,722380.959233,4365960.30471,-0.13883599638938904
11639,722388.696968,4365960.3121,-0.13262000679969788
11640,722396.434703,4365960.31949,-0.12559999525547028
11972,722350.002539,4365967.98208,0.10161300003528595
11973,722357.740341,4365967.98944,0.06185759976506233
11974,722365.478066,4365967.99681,0.019479600712656975
11975,722373.215791,4365968.00418,-0.14864499866962433
11976,722380.953597,4365968.01149,-0.16237500309944153
11977,722388.691324,4365968.01887,-0.15610399842262268
11978,722396.429128,4365968.02627,-0.14891600608825684
12309,722342.259214,4365975.68157,0.09252139925956726
12310,722349.99693,4365975.68893,0.056540198624134064
12311,722357.734727,4365975.69621,0.017674800008535385
12312,722365.472444,4365975.70358,-0.013341899961233139
12313,722373.21024,4365975.71095,-0.11625500023365021
12314,722380.947958,4365975.71833,-0.18437199294567108
12315,722388.685677,4365975.72572,-0.17810200154781342
12316,722396.423476,4365975.73304,-0.17074799537658691
12647,722342.253615,4365983.38834,0.047904398292303085
12648,722349.991401,4365983.39569,0.01209999993443489
12649,722357.72911,4365983.40305,-0.02259800024330616
12650,722365.46682,4365983.41041,-0.05659189820289612
12651,722373.20461,4365983.41771,-0.10760500282049179
12652,722380.942321,4365983.4251,-0.20734600722789764
12653,722388.68011,4365983.43249,-0.20001600682735443
12654,722396.417821,4365983.43989,-0.19247399270534515
12985,722342.248091,4365991.09517,0.0035220501013100147
12986,722349.985792,4365991.10252,-0.03222920000553131
12987,722357.723496,4365991.1098,-0.06560619920492172
12988,722365.461275,4365991.11717,-0.09984420239925385
12989,722373.198978,4365991.12455,-0.13357800245285034
12990,722380.936681,4365991.13193,-0.21693100035190582
12991,722388.674464,4365991.13924,-0.2211409956216812
12992,722396.412168,4365991.14664,-0.21294300258159637
13322,722334.504721,4365998.79457,-0.00842558965086937
13323,722342.242491,4365998.80191,-0.04354019835591316
13324,722349.980184,4365998.80927,-0.08384490013122559
13325,722357.717878,4365998.81663,-0.11453299969434738
13326,722365.455652,4365998.82392,-0.15611399710178375
13327,722373.193347,4365998.83129,-0.2064100056886673
13328,722380.93112,4365998.83868,-0.27355000376701355
13329,722388.668816,4365998.84607,-9999.0
13330,722396.406512,4365998.85347,-0.31619301438331604
13660,722334.499203,4366006.50138,-0.02583950012922287
13661,722342.236888,4366006.50873,-0.08439759910106659
13662,722349.974576,4366006.516,-0.13662000000476837
13663,722357.712339,4366006.52337,-0.18470899760723114
13664,722365.450026,4366006.53074,-0.2327360063791275
13665,722373.187713,4366006.53811,-0.2836790084838867
13666,722380.925481,4366006.54542,-0.33080899715423584
13667,722388.663169,4366006.55281,-0.3778589963912964
13668,722396.400858,4366006.56021,-0.36642199754714966
13997,722326.755855,4366014.20077,-0.020907599478960037
13998,722334.493609,4366014.20811,-0.01773199997842312
13999,722342.231287,4366014.21546,-0.046273499727249146
14000,722349.969042,4366014.22281,-0.10377500206232071
14001,722357.706723,4366014.2301,-0.15815800428390503
14002,722365.444402,4366014.23747,-0.21226300299167633
14003,722373.182159,4366014.24485,-0.26969900727272034
14004,722380.919839,4366014.25223,-0.323388010263443
14005,722388.65752,4366014.25962,-0.37512800097465515
14006,722396.395281,4366014.26695,-0.3266339898109436
14335,722326.750344,4366021.90757,-0.019224099814891815
14336,722334.488015,4366021.91483,-0.016132399439811707
14337,722342.225685,4366021.92218,-0.012889900244772434
14338,722349.963433,4366021.92954,-0.0630922019481659
14339,722357.701104,4366021.9369,-0.1170239970088005
14340,722365.438775,4366021.94427,-0.17092299461364746
14341,722373.176527,4366021.95157,-0.2280530035495758
14342,722380.914199,4366021.95896,-0.2812440097332001
14343,722388.65195,4366021.96635,-0.3206520080566406
14344,722396.389623,4366021.97375,-0.26468798518180847
14672,722319.007019,4366029.60695,-0.020709700882434845
14673,722326.744757,4366029.61429,-0.017459899187088013
14674,722334.482419,4366029.62163,-0.01432809978723526
14675,722342.220158,4366029.62898,-0.01088669989258051
14676,722349.957823,4366029.63625,-0.023369500413537025
14677,722357.695486,4366029.64362,-0.07444950193166733
14678,722365.433227,4366029.65099,-0.1267559975385666
14679,722373.170892,4366029.65837,-0.18363499641418457
14680,722380.908556,4366029.66575,-0.23657800257205963
14681,722388.646301,4366029.67307,-0.26648300886154175
14682,722396.383967,4366029.68047,-0.2117599993944168
15010,722319.001516,4366037.31366,-0.01895809918642044
15011,722326.73917,4366037.32099,-0.01568170078098774
15012,722334.476824,4366037.32833,-0.012517600320279598
15013,722342.214555,4366037.33568,-0.009031419642269611
15014,722349.95221,4366037.34304,-0.005313610192388296
15015,722357.689943,4366037.3504,-0.04001820087432861
15016,722365.427602,4366037.3577,-0.08600360155105591
15017,722373.165258,4366037.36508,-0.14195099472999573
15018,722380.902993,4366037.37246,-0.19466599822044373
15019,722388.64065,4366037.37986,-0.20853300392627716
15020,722396.378309,4366037.38726,-0.15563799440860748
15347,722311.258289,4366045.01311,-0.020079899579286575
15348,722318.995934,4366045.02044,-0.01706779934465885
15349,722326.73358,4366045.02777,-0.013770299963653088
15350,722334.471303,4366045.03511,-0.010583399794995785
15351,722342.208952,4366045.04238,-0.007058029994368553
15352,722349.9466,4366045.04974,-0.003385969903320074
15353,722357.684325,4366045.0571,-0.0025184100959450006
15354,722365.421973,4366045.06448,-0.055677399039268494
15355,722373.159622,4366045.07185,-0.10025300085544586
15356,722380.897351,4366045.07917,-0.15271100401878357
15357,722388.635001,4366045.08656,-0.1564210057258606
15358,722396.372729,4366045.09396,-0.09868639707565308
15684,722303.514999,4366052.71256,-0.018840400502085686
15685,722311.252716,4366052.7198,-0.01790430024266243
15686,722318.990353,4366052.72713,-0.014879499562084675
15687,722326.727991,4366052.73446,-0.011781799606978893
15688,722334.465707,4366052.7418,-0.008369609713554382
15689,722342.203346,4366052.74915,-0.004817049950361252
15690,722349.941063,4366052.75651,-0.001090470002964139
15691,722357.678706,4366052.7638,0.002572759985923767
15692,722365.416346,4366052.77117,-0.012420100159943104
15693,722373.154065,4366052.77855,-0.07184699922800064
15694,722380.891707,4366052.78594,-0.10720899701118469
15695,722388.629351,4366052.79326,-0.09571050107479095
15696,722396.367072,4366052.80066,-0.0378170982003212
16022,722303.50951,4366060.41924,-0.016586899757385254
16023,722311.24714,4366060.42656,-0.015590500086545944
16024,722318.98477,4366060.43389,-0.012485699728131294
16025,722326.72248,4366060.44115,-0.009389589540660381
16026,722334.46011,4366060.44849,-0.00598199013620615
16027,722342.197742,4366060.45584,-0.0024202100466936827
16028,722349.935451,4366060.4632,0.0013427099911496043
16029,722357.673084,4366060.47056,0.0050872801803052425
16030,722365.410719,4366060.47786,0.009078039787709713
16031,722373.14843,4366060.48524,-0.02824999950826168
16032,722380.886064,4366060.49263,-0.08524999767541885
16033,722388.623776,4366060.50002,-0.03495059907436371
16034,722396.361411,4366060.50743,0.023218300193548203
16359,722295.766243,4366068.11868,-0.01697639934718609
16360,722303.503944,4366068.12592,-0.014251899905502796
16361,722311.241566,4366068.13324,-0.011345399543642998
16362,722318.979265,4366068.14057,-0.01002230029553175
16363,722326.716888,4366068.1479,-0.006939909886568785
16364,722334.454511,4366068.15524,-0.00355577003210783
16365,722342.192137,4366068.16252,-1.5552099284832366e-05
16366,722349.929839,4366068.16987,0.0035162901040166616
