grid_cod,POINT_X,POINT_Y,Value
6909,722404.25147,4365852.43071,17.95599937438965
7246,722396.507981,4365860.13028,18.179500579833984
7247,722404.245816,4365860.13767,18.274900436401367
7248,722411.983652,4365860.14508,18.229400634765625
7249,722419.721567,4365860.15242,17.899999618530273
7584,722396.502336,4365867.83716,18.300399780273438
7585,722404.240164,4365867.84455,18.286399841308594
7586,722411.978069,4365867.85196,18.299299240112305
7587,722419.715898,4365867.85937,18.31730079650879
7588,722427.453729,4365867.86672,18.316999435424805
7589,722435.191636,4365867.87415,18.209699630737305
7590,722442.929466,4365867.88158,17.89459991455078
7921,722388.75887,4365875.53671,18.370100021362305
7922,722396.496689,4365875.5441,18.317899703979492
7923,722404.234511,4365875.55142,18.300100326538086
7924,722411.972408,4365875.55883,18.350000381469727
7925,722419.710229,4365875.56625,18.32830047607422
7926,722427.448051,4365875.57367,18.343799591064453
7927,722435.185952,4365875.58102,18.335100173950195
7928,722442.923775,4365875.58846,18.338600158691406
7929,722450.661675,4365875.5959,18.328500747680664
7930,722458.399499,4365875.60335,18.22279930114746
7931,722466.137323,4365875.61081,17.728500366210938
8259,722388.753231,4365883.24358,18.366500854492188
8260,722396.491043,4365883.25097,18.31719970703125
8261,722404.228933,4365883.25837,18.326099395751953
8262,722411.966745,4365883.26577,18.33650016784668
8263,722419.704561,4365883.27311,18.31730079650879
8264,722427.442452,4365883.28053,18.339599609375
8265,722435.180266,4365883.28796,18.336999893188477
8266,722442.918081,4365883.2954,18.336299896240234
8267,722450.655976,4365883.30277,18.3302001953125
8268,722458.393792,4365883.31022,18.31760025024414
8269,722466.131608,4365883.31768,18.33880043029785
8270,722473.869502,4365883.32515,18.315500259399414
8271,722481.60732,4365883.33263,18.2322998046875
8272,722489.345215,4365883.34011,17.74679946899414
8596,722381.00971,4365890.94312,18.42329978942871
8597,722388.747591,4365890.95051,18.304800033569336
8598,722396.485397,4365890.95782,18.337600708007812
8599,722404.223279,4365890.96522,18.33209991455078
8600,722411.961084,4365890.97263,18.346500396728516
8601,722419.698967,4365890.98005,18.341400146484375
8602,722427.436773,4365890.98747,18.33690071105957
8603,722435.174581,4365890.99482,18.338300704956055
8604,722442.912466,4365891.00226,18.32069969177246
8605,722450.650274,4365891.00971,18.33049964904785
8606,722458.388082,4365891.01716,18.348400115966797
8607,722466.12597,4365891.02454,18.32379913330078
8608,722473.863779,4365891.03201,18.332199096679688
8609,722481.601589,4365891.03949,18.327600479125977
8610,722489.339477,4365891.04697,18.35580062866211
8611,722497.077288,4365891.05447,18.297500610351562
8612,722504.815177,4365891.06197,18.116199493408203
8613,722512.552991,4365891.0694,17.523000717163086
