grid_cod,POINT_X,POINT_Y,Value
6909,722404.25147,4365852.43071,2
7246,722396.507981,4365860.13028,1
7247,722404.245816,4365860.13767,1
7248,722411.983652,4365860.14508,2
7249,722419.721567,4365860.15242,3
7584,722396.502336,4365867.83716,1
7585,722404.240164,4365867.84455,1
7586,722411.978069,4365867.85196,1
7587,722419.715898,4365867.85937,1
7588,722427.453729,4365867.86672,1
7589,722435.191636,4365867.87415,3
7590,722442.929466,4365867.88158,3
7921,722388.75887,4365875.53671,2
7922,722396.496689,4365875.5441,1
7923,722404.234511,4365875.55142,1
7924,722411.972408,4365875.55883,1
7925,722419.710229,4365875.56625,1
7926,722427.448051,4365875.57367,1
7927,722435.185952,4365875.58102,1
7928,722442.923775,4365875.58846,1
7929,722450.661675,4365875.5959,1
7930,722458.399499,4365875.60335,2
7931,722466.137323,4365875.61081,3
8259,722388.753231,4365883.24358,1
8260,722396.491043,4365883.25097,1
8261,722404.228933,4365883.25837,1
8262,722411.966745,4365883.26577,1
8263,722419.704561,4365883.27311,1
8264,722427.442452,4365883.28053,1
8265,722435.180266,4365883.28796,1
8266,722442.918081,4365883.2954,1
8267,722450.655976,4365883.30277,1
8268,722458.393792,4365883.31022,1
8269,722466.131608,4365883.31768,1
8270,722473.869502,4365883.32515,1
8271,722481.60732,4365883.33263,2
8272,722489.345215,4365883.34011,2
8596,722381.00971,4365890.94312,1
8597,722388.747591,4365890.95051,1
8598,722396.485397,4365890.95782,1
8599,722404.223279,4365890.96522,1
8600,722411.961084,4365890.97263,1
8601,722419.698967,4365890.98005,1
8602,722427.436773,4365890.98747,1
8603,722435.174581,4365890.99482,1
8604,722442.912466,4365891.00226,1
8605,722450.650274,4365891.00971,1
8606,722458.388082,4365891.01716,1
8607,722466.12597,4365891.02454,1
8608,722473.863779,4365891.03201,1
8609,722481.601589,4365891.03949,1
8610,722489.339477,4365891.04697,1
8611,722497.077288,4365891.05447,1
8612,722504.815177,4365891.06197,2
8613,722512.552991,4365891.0694,2
8934,722381.004156,4365898.64997,2
