grid_cod,POINT_X,POINT_Y,Value
6909,722404.25147,4365852.43071,-9999.0
7246,722396.507981,4365860.13028,-9999.0
7247,722404.245816,4365860.13767,0.4362320005893707
7248,722411.983652,4365860.14508,2.990649938583374
7249,722419.721567,4365860.15242,7.980070114135742
7584,722396.502336,4365867.83716,0.8019760251045227
7585,722404.240164,4365867.84455,0.3477180004119873
7586,722411.978069,4365867.85196,0.49758800864219666
7587,722419.715898,4365867.85937,0.031908199191093445
7588,722427.453729,4365867.86672,0.9337729811668396
7589,722435.191636,4365867.87415,5.724629878997803
7590,722442.929466,4365867.88158,8.415189743041992
7921,722388.75887,4365875.53671,-9999.0
7922,722396.496689,4365875.5441,0.5395159721374512
7923,722404.234511,4365875.55142,0.19710999727249146
7924,722411.972408,4365875.55883,0.6776289939880371
7925,722419.710229,4365875.56625,0.08121520280838013
7926,722427.448051,4365875.57367,0.1020049974322319
7927,722435.185952,4365875.58102,0.09349150210618973
7928,722442.923775,4365875.58846,0.1241229996085167
7929,722450.661675,4365875.5959,0.8653349876403809
7930,722458.399499,4365875.60335,5.682680130004883
7931,722466.137323,4365875.61081,8.667619705200195
8259,722388.753231,4365883.24358,0.9467710256576538
8260,722396.491043,4365883.25097,0.10520900040864944
8261,722404.228933,4365883.25837,0.31208500266075134
8262,722411.966745,4365883.26577,0.40696999430656433
8263,722419.704561,4365883.27311,0.003910040017217398
8264,722427.442452,4365883.28053,0.029419999569654465
8265,722435.180266,4365883.28796,0.054340701550245285
8266,722442.918081,4365883.2954,0.09938350319862366
8267,722450.655976,4365883.30277,0.016418900340795517
8268,722458.393792,4365883.31022,0.08730799704790115
8269,722466.131608,4365883.31768,0.12343700230121613
8270,722473.869502,4365883.32515,0.37751999497413635
8271,722481.60732,4365883.33263,3.0029399394989014
8272,722489.345215,4365883.34011,-9999.0
8596,722381.00971,4365890.94312,0.6248840093612671
8597,722388.747591,4365890.95051,0.24232900142669678
8598,722396.485397,4365890.95782,0.4313260018825531
8599,722404.223279,4365890.96522,0.26028499007225037
8600,722411.961084,4365890.97263,0.23912300169467926
8601,722419.698967,4365890.98005,0.23218299448490143
8602,722427.436773,4365890.98747,0.12278600037097931
8603,722435.174581,4365890.99482,0.1698019951581955
8604,722442.912466,4365891.00226,0.24027499556541443
8605,722450.650274,4365891.00971,0.1281139999628067
8606,722458.388082,4365891.01716,0.13109999895095825
8607,722466.12597,4365891.02454,0.1464409977197647
8608,722473.863779,4365891.03201,0.12710000574588776
8609,722481.601589,4365891.03949,0.1682640016078949
8610,722489.339477,4365891.04697,0.6534649729728699
8611,722497.077288,4365891.05447,0.6522480249404907
8612,722504.815177,4365891.06197,5.509190082550049
8613,722512.552991,4365891.0694,2.375570058822632
8934,722381.004156,4365898.64997,1.9201799631118774
8935,722388.741952,4365898.65735,4.260940074920654
8936,722396.479825,4365898.66475,1.4377100467681885
8937,722404.217624,4365898.67207,0.6178470253944397
8938,722411.955422,4365898.67948,0.2939929962158203
8939,722419.693297,4365898.6869,0.26687800884246826
8940,722427.431095,4365898.69432,0.1265989989042282
